date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-14,276,0.7561643835616438,115,0.18071416358274994,-0.707996421623795,1.233638524215113,0.018308792289723146
2023-02-14,304,0.8328767123287671,163,0.18254096233125333,-0.7614097167168243,1.1848708290509564,0.02076522654722759
2023-02-14,318,0.8712328767123287,91,0.20776147311766635,-0.9106676562656638,0.7095803284801826,0.014044948504706733
2023-02-14,339,0.9287671232876712,118,0.17573813285539505,-0.6860617401878947,1.2607087120110978,0.0290280782260068
2023-02-14,367,1.0054794520547945,120,0.1905349044673752,-0.7477207784147372,1.0619571777301087,0.018235971652528046
2023-02-14,395,1.082191780821918,119,0.1994624482815895,-0.7823795154632235,0.8694535332039413,0.006847664198670692
2023-02-14,493,1.3506849315068492,106,0.19848366638187215,-0.7503821464402427,0.8094007063384249,0.00977756762558725
2023-02-14,675,1.8493150684931507,61,0.2090024941843122,-0.7604437358893396,0.5654602712030729,0.014029332672650168
2023-02-14,1039,2.8465753424657536,60,0.2010791291107895,-0.7479160017846199,0.6498270820345444,0.031759369962640366
2023-02-14,1403,3.8438356164383563,62,0.19867180806249682,-0.7207457055167201,0.6158097931025676,0.038301691469075104
2023-02-14,1767,4.841095890410959,52,0.2043007236658154,-0.7167345825544934,0.49648162697689796,0.02627528058694656
2023-02-15,1,0.0027397260273972603,61,0.09137841182410779,-0.46286906108615966,25.890199357901302,0.05020844218527409
2023-02-15,2,0.005479452054794521,265,0.10068826916923633,-0.4713621770259947,20.390695960771396,0.10123948829908656
2023-02-15,6,0.01643835616438356,67,0.09685678537924422,-0.1830626919121069,7.210940667691863,0.022532604458312216
2023-02-15,7,0.019178082191780823,67,0.1147838280222595,-0.1030267437527541,4.993208382119864,0.017172709317911275
2023-02-15,8,0.021917808219178082,86,0.11939994485296947,-0.07352475678253284,5.014540605937061,0.021793613533290155
2023-02-15,9,0.024657534246575342,106,0.1247709009767711,-0.18400754795342264,4.450955809147656,0.0213192941692958
2023-02-15,12,0.03287671232876712,88,0.12353372981302785,-0.09603657075635214,3.397788754519438,0.01598753356526586
2023-02-15,13,0.03561643835616438,138,0.11852831141773008,-0.25732727411793554,3.7191958454639913,0.01877526264052725
2023-02-15,14,0.038356164383561646,88,0.13508141575026822,-0.22462701377489122,2.738621066127399,0.011452574228090576
